Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Experience_Age_Ratio
Bachelors,2017,Pune,2,27,Female,No,5,1,0.18518518518518517
Masters,2015,Pune,2,32,Female,No,4,0,0.125
Bachelors,2014,Bangalore,3,28,Male,No,4,0,0.14285714285714285
Masters,2012,New Delhi,3,32,Male,No,2,0,0.0625
Bachelors,2018,Bangalore,3,30,Male,No,0,1,0.0
Bachelors,2015,New Delhi,3,22,Male,No,0,0,0.0
Bachelors,2017,New Delhi,2,34,Female,No,5,0,0.14705882352941177
Masters,2013,New Delhi,3,36,Male,No,2,0,0.05555555555555555
Bachelors,2014,Bangalore,3,39,Male,No,3,1,0.07692307692307693
PHD,2018,Bangalore,3,26,Male,No,4,1,0.15384615384615385
Bachelors,2016,Bangalore,3,31,Female,No,0,0,0.0
Bachelors,2014,Bangalore,3,27,Male,No,5,1,0.18518518518518517
Bachelors,2014,Bangalore,3,29,Female,No,0,0,0.0
Bachelors,2015,Bangalore,3,24,Female,No,2,1,0.08333333333333333
Masters,2012,Pune,3,25,Male,No,3,1,0.12
Bachelors,2013,Pune,3,25,Male,No,3,0,0.12
Masters,2017,New Delhi,3,26,Female,No,4,1,0.15384615384615385
Bachelors,2015,Pune,2,28,Female,Yes,1,1,0.03571428571428571
Bachelors,2017,New Delhi,3,28,Male,No,2,0,0.07142857142857142
Masters,2015,Pune,1,28,Female,No,3,1,0.10714285714285714
Masters,2015,New Delhi,3,25,Male,No,3,0,0.12
Bachelors,2017,Bangalore,3,28,Male,No,1,0,0.03571428571428571
Masters,2013,Pune,3,25,Male,No,3,0,0.12
Bachelors,2015,Bangalore,2,25,Female,No,3,1,0.12
Bachelors,2015,Bangalore,3,27,Female,No,5,0,0.18518518518518517
Bachelors,2013,Bangalore,3,27,Male,No,5,1,0.18518518518518517
Bachelors,2012,Bangalore,3,25,Male,No,3,0,0.12
Masters,2017,New Delhi,2,28,Male,No,2,0,0.07142857142857142
Bachelors,2014,Pune,1,26,Female,No,4,1,0.15384615384615385
Bachelors,2015,Bangalore,3,28,Male,No,2,0,0.07142857142857142
Masters,2013,New Delhi,3,26,Male,No,4,0,0.15384615384615385
Bachelors,2017,Bangalore,3,26,Female,No,4,0,0.15384615384615385
Bachelors,2017,New Delhi,2,25,Male,No,3,0,0.12
Bachelors,2012,Bangalore,1,28,Female,No,3,0,0.10714285714285714
PHD,2015,New Delhi,3,26,Male,No,4,0,0.15384615384615385
Bachelors,2015,New Delhi,3,25,Female,No,3,0,0.12
Bachelors,2012,Bangalore,3,26,Male,No,4,1,0.15384615384615385
Bachelors,2014,Bangalore,3,28,Female,No,3,0,0.10714285714285714
Masters,2014,Pune,3,24,Male,No,2,0,0.08333333333333333
Bachelors,2013,Bangalore,3,28,Male,No,1,0,0.03571428571428571
Bachelors,2015,Pune,3,27,Male,No,5,0,0.18518518518518517
Bachelors,2018,Bangalore,3,25,Male,No,3,1,0.12
Masters,2013,Pune,1,24,Male,No,2,1,0.08333333333333333
Bachelors,2013,Bangalore,3,28,Male,No,1,1,0.03571428571428571
Masters,2016,New Delhi,3,27,Male,No,5,0,0.18518518518518517
Masters,2017,Bangalore,3,26,Male,No,4,0,0.15384615384615385
Masters,2017,New Delhi,2,24,Male,No,2,0,0.08333333333333333
Masters,2018,New Delhi,3,26,Male,No,4,1,0.15384615384615385
Masters,2017,New Delhi,1,25,Female,No,3,1,0.12
Bachelors,2012,Pune,3,28,Male,No,2,0,0.07142857142857142
Bachelors,2013,Bangalore,3,26,Male,No,4,0,0.15384615384615385
Masters,2013,New Delhi,3,27,Male,No,5,1,0.18518518518518517
Bachelors,2017,Pune,2,24,Female,No,2,1,0.08333333333333333
Bachelors,2017,New Delhi,3,28,Female,No,2,0,0.07142857142857142
Bachelors,2016,Bangalore,3,26,Male,No,4,0,0.15384615384615385
Bachelors,2013,Bangalore,3,27,Female,No,5,0,0.18518518518518517
Masters,2015,Pune,2,28,Female,No,3,0,0.10714285714285714
Bachelors,2014,Bangalore,3,25,Male,No,3,0,0.12
Bachelors,2016,Pune,3,28,Male,No,1,0,0.03571428571428571
Masters,2013,Bangalore,1,25,Male,No,3,1,0.12
Bachelors,2015,Pune,3,26,Male,No,4,0,0.15384615384615385
Bachelors,2018,New Delhi,3,27,Female,No,5,1,0.18518518518518517
Bachelors,2016,Bangalore,3,24,Male,No,2,1,0.08333333333333333
Bachelors,2012,Pune,2,24,Female,No,2,1,0.08333333333333333
Bachelors,2014,Bangalore,3,26,Male,No,4,0,0.15384615384615385
Bachelors,2016,Pune,2,24,Female,No,2,1,0.08333333333333333
Masters,2012,New Delhi,3,26,Female,No,4,0,0.15384615384615385
Bachelors,2013,Bangalore,3,28,Female,No,3,0,0.10714285714285714
Bachelors,2012,Bangalore,3,24,Male,No,2,1,0.08333333333333333
Bachelors,2015,Bangalore,3,25,Male,No,3,1,0.12
Bachelors,2016,Bangalore,3,28,Male,No,3,0,0.10714285714285714
Bachelors,2013,Bangalore,3,26,Female,No,4,0,0.15384615384615385
Masters,2017,New Delhi,3,24,Female,No,2,1,0.08333333333333333
Bachelors,2016,Bangalore,3,25,Male,No,3,1,0.12
Bachelors,2015,Bangalore,3,25,Male,No,3,0,0.12
Bachelors,2014,Bangalore,3,27,Male,No,5,0,0.18518518518518517
Bachelors,2012,Bangalore,3,24,Male,No,2,0,0.08333333333333333
Bachelors,2015,Bangalore,3,28,Male,No,3,0,0.10714285714285714
Masters,2015,New Delhi,3,26,Male,No,4,1,0.15384615384615385
Bachelors,2014,New Delhi,3,28,Female,No,1,0,0.03571428571428571
Bachelors,2015,Pune,3,25,Male,No,3,0,0.12
Masters,2015,Pune,2,28,Female,No,2,0,0.07142857142857142
Bachelors,2014,Bangalore,3,27,Female,No,5,0,0.18518518518518517
Bachelors,2014,New Delhi,3,24,Female,No,2,0,0.08333333333333333
Bachelors,2012,Bangalore,3,27,Male,No,5,1,0.18518518518518517
Masters,2017,New Delhi,3,27,Male,No,5,1,0.18518518518518517
Bachelors,2018,Bangalore,3,24,Male,No,2,1,0.08333333333333333
Masters,2017,New Delhi,2,28,Female,No,1,1,0.03571428571428571
Masters,2017,Pune,2,24,Male,No,2,1,0.08333333333333333
Masters,2016,New Delhi,3,25,Female,No,3,1,0.12
PHD,2015,New Delhi,3,28,Female,No,1,0,0.03571428571428571
Bachelors,2017,New Delhi,2,26,Male,No,4,0,0.15384615384615385
Bachelors,2013,Bangalore,2,27,Male,No,5,0,0.18518518518518517
Bachelors,2015,Bangalore,3,26,Male,No,4,0,0.15384615384615385
Bachelors,2013,New Delhi,3,25,Female,No,3,0,0.12
Bachelors,2013,Pune,3,28,Male,No,1,0,0.03571428571428571
Bachelors,2017,Pune,3,24,Male,No,2,0,0.08333333333333333
Bachelors,2013,New Delhi,3,27,Female,No,5,0,0.18518518518518517
Bachelors,2015,Bangalore,3,28,Male,Yes,2,0,0.07142857142857142
Bachelors,2015,Pune,3,28,Male,No,3,0,0.10714285714285714
Bachelors,2014,Pune,2,25,Female,No,3,1,0.12
Bachelors,2017,Bangalore,3,27,Male,No,5,0,0.18518518518518517
Bachelors,2014,Pune,2,26,Female,No,4,1,0.15384615384615385
PHD,2013,New Delhi,3,24,Male,No,2,0,0.08333333333333333
Bachelors,2017,Bangalore,3,25,Male,No,3,0,0.12
Masters,2013,Pune,2,27,Male,No,5,1,0.18518518518518517
Masters,2017,Bangalore,3,28,Male,No,2,0,0.07142857142857142
Bachelors,2012,Bangalore,3,25,Male,No,3,1,0.12
Masters,2017,Pune,2,27,Female,No,5,0,0.18518518518518517
Masters,2013,Bangalore,2,28,Female,No,2,1,0.07142857142857142
Masters,2017,Pune,3,28,Male,No,1,1,0.03571428571428571
Bachelors,2018,Bangalore,3,27,Female,No,5,1,0.18518518518518517
Bachelors,2014,New Delhi,3,25,Female,No,3,0,0.12
Masters,2013,New Delhi,3,26,Male,No,4,1,0.15384615384615385
Bachelors,2013,Pune,2,25,Female,No,3,1,0.12
Masters,2012,New Delhi,3,26,Male,No,4,1,0.15384615384615385
Bachelors,2013,Pune,2,26,Male,No,4,0,0.15384615384615385
Bachelors,2018,Bangalore,3,28,Female,No,2,1,0.07142857142857142
Bachelors,2013,Bangalore,3,27,Male,No,5,0,0.18518518518518517
Bachelors,2015,Pune,1,24,Female,Yes,2,1,0.08333333333333333
Bachelors,2013,Pune,3,28,Male,No,2,0,0.07142857142857142
Bachelors,2015,Pune,2,27,Female,Yes,5,1,0.18518518518518517
Bachelors,2014,Pune,2,27,Female,No,5,1,0.18518518518518517
Bachelors,2013,Pune,3,24,Male,No,2,0,0.08333333333333333
Bachelors,2014,Pune,3,24,Male,No,2,0,0.08333333333333333
PHD,2015,New Delhi,2,25,Female,No,3,0,0.12
Bachelors,2014,Bangalore,3,26,Male,Yes,4,0,0.15384615384615385
Masters,2015,Pune,2,25,Female,No,3,0,0.12
Bachelors,2015,Bangalore,3,24,Male,No,2,0,0.08333333333333333
Masters,2017,Bangalore,2,26,Female,No,4,1,0.15384615384615385
Bachelors,2012,New Delhi,3,28,Male,No,1,0,0.03571428571428571
Masters,2017,Pune,2,26,Female,No,4,0,0.15384615384615385
Bachelors,2016,Pune,3,25,Male,No,3,0,0.12
Bachelors,2017,New Delhi,3,24,Male,No,2,1,0.08333333333333333
Bachelors,2013,Pune,2,28,Female,No,3,1,0.10714285714285714
Bachelors,2014,Bangalore,3,25,Female,No,3,1,0.12
Bachelors,2014,Pune,2,24,Female,No,2,1,0.08333333333333333
Bachelors,2015,Bangalore,3,28,Male,No,2,1,0.07142857142857142
Bachelors,2015,Bangalore,3,27,Male,No,5,0,0.18518518518518517
Bachelors,2016,Pune,3,26,Male,No,4,0,0.15384615384615385
Masters,2015,New Delhi,3,26,Female,No,4,1,0.15384615384615385
Bachelors,2016,Bangalore,1,28,Female,No,2,0,0.07142857142857142
Bachelors,2014,Bangalore,3,25,Male,Yes,3,0,0.12
Bachelors,2017,Bangalore,3,28,Male,No,2,0,0.07142857142857142
Masters,2018,New Delhi,3,24,Female,Yes,2,1,0.08333333333333333
Bachelors,2017,Pune,2,25,Male,No,3,0,0.12
Bachelors,2018,Pune,2,24,Female,No,2,1,0.08333333333333333
Masters,2017,New Delhi,2,28,Female,No,1,0,0.03571428571428571
Bachelors,2013,New Delhi,1,27,Female,No,5,0,0.18518518518518517
Bachelors,2017,New Delhi,2,27,Female,No,5,0,0.18518518518518517
Bachelors,2016,Pune,2,27,Female,No,5,1,0.18518518518518517
Masters,2018,Bangalore,3,24,Male,No,2,1,0.08333333333333333
Bachelors,2012,Pune,1,26,Male,No,4,0,0.15384615384615385
Masters,2016,New Delhi,1,27,Male,No,5,0,0.18518518518518517
Bachelors,2015,New Delhi,3,26,Female,No,4,0,0.15384615384615385
Bachelors,2012,Bangalore,3,27,Male,Yes,5,0,0.18518518518518517
Bachelors,2013,Bangalore,3,24,Male,Yes,2,1,0.08333333333333333
Bachelors,2018,Bangalore,3,26,Female,No,4,1,0.15384615384615385
Masters,2017,Pune,2,26,Female,No,4,1,0.15384615384615385
Masters,2017,New Delhi,2,28,Female,No,2,0,0.07142857142857142
Masters,2013,New Delhi,3,25,Male,No,3,0,0.12
Bachelors,2018,Bangalore,3,28,Female,Yes,1,1,0.03571428571428571
Bachelors,2013,Pune,3,27,Female,No,5,1,0.18518518518518517
Bachelors,2014,Bangalore,3,28,Male,No,1,0,0.03571428571428571
Bachelors,2017,New Delhi,3,28,Female,No,3,0,0.10714285714285714
Masters,2017,New Delhi,2,28,Male,Yes,2,0,0.07142857142857142
Masters,2017,New Delhi,3,26,Male,No,4,0,0.15384615384615385
Bachelors,2015,Pune,1,25,Female,No,3,1,0.12
Masters,2013,New Delhi,3,27,Male,No,5,0,0.18518518518518517
PHD,2014,Bangalore,3,24,Female,No,2,0,0.08333333333333333
Masters,2017,New Delhi,2,27,Female,No,5,0,0.18518518518518517
Bachelors,2012,Bangalore,3,26,Male,No,4,0,0.15384615384615385
Masters,2015,Pune,3,27,Female,No,5,1,0.18518518518518517
Bachelors,2016,Bangalore,3,24,Male,No,2,0,0.08333333333333333
Masters,2017,New Delhi,2,25,Female,No,3,0,0.12
Bachelors,2017,New Delhi,2,28,Male,No,1,0,0.03571428571428571
Bachelors,2012,New Delhi,3,27,Female,No,5,0,0.18518518518518517
Bachelors,2015,Bangalore,3,26,Female,Yes,4,1,0.15384615384615385
Bachelors,2014,Pune,3,28,Male,No,2,0,0.07142857142857142
Bachelors,2016,Bangalore,3,24,Female,No,2,1,0.08333333333333333
Bachelors,2012,Bangalore,3,28,Male,No,3,0,0.10714285714285714
Bachelors,2012,Bangalore,3,27,Male,No,5,0,0.18518518518518517
Bachelors,2014,New Delhi,3,27,Female,Yes,5,0,0.18518518518518517
Bachelors,2015,Pune,3,26,Female,Yes,4,1,0.15384615384615385
Masters,2014,New Delhi,3,26,Male,No,4,1,0.15384615384615385
PHD,2015,New Delhi,3,25,Female,No,3,0,0.12
Bachelors,2012,Pune,3,27,Male,No,5,0,0.18518518518518517
Masters,2017,New Delhi,2,24,Female,No,2,0,0.08333333333333333
Masters,2015,Pune,3,28,Female,No,2,0,0.07142857142857142
Bachelors,2017,Bangalore,3,24,Female,No,2,0,0.08333333333333333
Bachelors,2017,Pune,3,25,Male,No,3,0,0.12
Bachelors,2017,Bangalore,1,25,Male,No,3,0,0.12
Bachelors,2017,Pune,3,26,Male,No,4,0,0.15384615384615385
Bachelors,2014,Pune,3,25,Female,No,3,1,0.12
Bachelors,2018,Pune,3,26,Female,No,4,1,0.15384615384615385
Bachelors,2016,Bangalore,3,27,Male,No,5,0,0.18518518518518517
Bachelors,2017,Bangalore,3,28,Female,No,2,0,0.07142857142857142
Masters,2012,New Delhi,3,24,Female,No,2,1,0.08333333333333333
Bachelors,2015,New Delhi,3,26,Female,Yes,4,0,0.15384615384615385
Bachelors,2018,Pune,3,25,Male,Yes,3,1,0.12
Masters,2017,New Delhi,3,24,Male,No,2,0,0.08333333333333333
Bachelors,2013,Bangalore,3,28,Male,No,2,1,0.07142857142857142
Bachelors,2017,Bangalore,3,24,Male,No,2,0,0.08333333333333333
Bachelors,2013,Pune,2,28,Female,No,1,1,0.03571428571428571
Bachelors,2015,New Delhi,2,27,Female,No,5,1,0.18518518518518517
Bachelors,2018,Bangalore,3,24,Female,No,2,1,0.08333333333333333
Bachelors,2013,Bangalore,3,24,Male,Yes,2,0,0.08333333333333333
Bachelors,2013,Bangalore,3,24,Female,No,2,0,0.08333333333333333
Bachelors,2012,Pune,3,24,Female,No,2,1,0.08333333333333333
Bachelors,2016,Bangalore,3,24,Male,Yes,2,1,0.08333333333333333
Bachelors,2017,New Delhi,2,27,Male,No,5,0,0.18518518518518517
Bachelors,2012,Pune,2,27,Female,No,5,1,0.18518518518518517
Masters,2017,Pune,2,27,Male,No,5,0,0.18518518518518517
Bachelors,2017,Pune,2,24,Male,No,2,1,0.08333333333333333
Bachelors,2016,Pune,1,26,Female,No,4,1,0.15384615384615385
Bachelors,2015,Pune,3,26,Female,No,4,1,0.15384615384615385
Bachelors,2012,Pune,3,26,Male,No,4,0,0.15384615384615385
Bachelors,2017,Bangalore,3,25,Female,Yes,3,0,0.12
Masters,2017,Pune,2,26,Male,No,4,0,0.15384615384615385
Masters,2015,Pune,2,25,Female,No,3,1,0.12
Bachelors,2017,New Delhi,2,26,Female,No,4,0,0.15384615384615385
Bachelors,2017,New Delhi,3,27,Female,No,5,0,0.18518518518518517
Bachelors,2015,New Delhi,3,24,Female,No,2,0,0.08333333333333333
Masters,2017,Bangalore,1,26,Female,No,4,1,0.15384615384615385
Bachelors,2017,New Delhi,1,28,Female,No,2,0,0.07142857142857142
Bachelors,2014,Bangalore,3,25,Female,No,3,0,0.12
Bachelors,2014,Bangalore,3,28,Male,No,2,0,0.07142857142857142
Bachelors,2017,Bangalore,3,28,Male,No,3,0,0.10714285714285714
Masters,2015,New Delhi,1,27,Male,No,5,0,0.18518518518518517
Masters,2018,Bangalore,3,25,Male,Yes,3,1,0.12
Bachelors,2016,Bangalore,3,28,Female,No,3,0,0.10714285714285714
Bachelors,2018,New Delhi,3,26,Female,Yes,4,1,0.15384615384615385
Bachelors,2015,Pune,2,24,Female,No,2,1,0.08333333333333333
Bachelors,2017,Bangalore,3,27,Male,Yes,5,0,0.18518518518518517
Bachelors,2014,Bangalore,3,24,Male,No,2,0,0.08333333333333333
Bachelors,2016,Bangalore,3,28,Male,No,2,0,0.07142857142857142
Bachelors,2015,Pune,2,25,Female,No,3,1,0.12
Bachelors,2013,Pune,3,27,Male,No,5,0,0.18518518518518517
Bachelors,2015,Pune,3,28,Male,No,2,0,0.07142857142857142
Bachelors,2014,New Delhi,2,24,Female,No,2,1,0.08333333333333333
Bachelors,2013,Bangalore,3,24,Male,No,2,0,0.08333333333333333
Bachelors,2018,Bangalore,3,28,Male,Yes,3,1,0.10714285714285714
Bachelors,2014,Pune,2,26,Male,No,4,0,0.15384615384615385
PHD,2013,Bangalore,3,25,Male,No,3,0,0.12
Bachelors,2017,New Delhi,2,28,Female,No,1,0,0.03571428571428571
Bachelors,2015,Pune,1,26,Female,No,4,1,0.15384615384615385
Masters,2017,New Delhi,3,26,Male,Yes,4,1,0.15384615384615385
Bachelors,2012,New Delhi,3,24,Female,No,2,0,0.08333333333333333
Bachelors,2017,New Delhi,2,24,Male,No,2,0,0.08333333333333333
Bachelors,2012,Bangalore,3,26,Female,No,4,0,0.15384615384615385
Masters,2014,Pune,3,25,Male,No,3,0,0.12
Bachelors,2016,Pune,3,24,Male,No,2,0,0.08333333333333333
Bachelors,2016,Bangalore,3,26,Female,No,4,0,0.15384615384615385
Bachelors,2015,Pune,2,25,Female,Yes,3,1,0.12
Masters,2013,New Delhi,2,25,Male,No,3,1,0.12
Bachelors,2015,Pune,2,26,Female,Yes,4,1,0.15384615384615385
Masters,2015,Bangalore,2,26,Female,No,4,1,0.15384615384615385
Bachelors,2012,Pune,3,27,Female,No,5,0,0.18518518518518517
Masters,2017,New Delhi,3,28,Male,Yes,2,0,0.07142857142857142
Bachelors,2013,New Delhi,3,27,Female,Yes,5,0,0.18518518518518517
Bachelors,2015,New Delhi,3,26,Male,No,4,0,0.15384615384615385
Bachelors,2017,Pune,2,27,Male,No,5,0,0.18518518518518517
PHD,2018,New Delhi,3,25,Male,No,3,1,0.12
Bachelors,2014,Pune,3,27,Male,No,5,0,0.18518518518518517
Masters,2017,Pune,2,24,Female,No,2,1,0.08333333333333333
PHD,2016,New Delhi,2,28,Male,No,3,1,0.10714285714285714
Masters,2017,New Delhi,2,27,Male,Yes,5,1,0.18518518518518517
PHD,2013,New Delhi,3,27,Male,No,5,0,0.18518518518518517
Masters,2014,New Delhi,3,28,Female,No,1,0,0.03571428571428571
Bachelors,2017,Pune,3,27,Male,No,5,0,0.18518518518518517
Masters,2014,Bangalore,3,26,Male,No,4,1,0.15384615384615385
Masters,2012,Pune,3,27,Male,No,5,0,0.18518518518518517
Bachelors,2017,Bangalore,3,26,Male,No,4,0,0.15384615384615385
Masters,2017,Pune,2,27,Male,No,5,1,0.18518518518518517
Bachelors,2016,Pune,3,27,Male,Yes,5,0,0.18518518518518517
Bachelors,2014,Pune,3,25,Male,No,3,0,0.12
Masters,2012,Pune,3,24,Male,No,2,0,0.08333333333333333
Bachelors,2013,Pune,2,25,Male,No,3,1,0.12
Bachelors,2013,Pune,3,26,Male,No,4,0,0.15384615384615385
Bachelors,2015,New Delhi,3,25,Male,No,3,0,0.12
PHD,2012,Pune,3,24,Male,No,2,0,0.08333333333333333
Masters,2015,New Delhi,3,24,Female,No,2,0,0.08333333333333333
Masters,2017,New Delhi,3,24,Male,No,2,1,0.08333333333333333
Bachelors,2014,Bangalore,1,25,Male,Yes,3,0,0.12
Bachelors,2018,Bangalore,3,28,Male,No,1,1,0.03571428571428571
Bachelors,2017,Bangalore,3,28,Male,Yes,3,0,0.10714285714285714
Masters,2013,Bangalore,3,28,Female,Yes,2,1,0.07142857142857142
Bachelors,2013,Bangalore,3,26,Male,Yes,4,0,0.15384615384615385
Masters,2018,New Delhi,1,24,Male,Yes,2,1,0.08333333333333333
PHD,2013,New Delhi,2,27,Female,No,5,0,0.18518518518518517
Masters,2018,New Delhi,3,28,Male,Yes,2,1,0.07142857142857142
Bachelors,2014,Bangalore,3,28,Male,No,3,1,0.10714285714285714
Bachelors,2013,New Delhi,3,24,Female,No,2,1,0.08333333333333333
Bachelors,2015,Pune,2,28,Female,No,1,1,0.03571428571428571
Bachelors,2017,New Delhi,2,28,Female,No,3,0,0.10714285714285714
Masters,2012,Pune,3,27,Female,No,5,1,0.18518518518518517
Masters,2017,Pune,3,25,Female,Yes,3,1,0.12
Masters,2017,New Delhi,2,27,Male,No,5,1,0.18518518518518517
Masters,2017,Pune,2,24,Male,No,2,0,0.08333333333333333
Bachelors,2013,Pune,2,24,Male,Yes,2,1,0.08333333333333333
PHD,2015,New Delhi,2,28,Female,No,1,0,0.03571428571428571
Masters,2014,New Delhi,3,27,Male,No,5,0,0.18518518518518517
Bachelors,2018,Pune,3,25,Male,No,3,1,0.12
Bachelors,2013,Bangalore,3,26,Male,Yes,4,1,0.15384615384615385
Bachelors,2015,New Delhi,3,25,Male,No,3,1,0.12
Bachelors,2017,New Delhi,2,25,Female,No,3,1,0.12
Bachelors,2012,Bangalore,3,25,Male,Yes,3,0,0.12
Bachelors,2014,New Delhi,3,28,Female,No,2,0,0.07142857142857142
Bachelors,2018,Pune,3,26,Male,No,4,1,0.15384615384615385
Masters,2014,New Delhi,3,28,Male,No,2,0,0.07142857142857142
Masters,2017,Pune,3,25,Male,No,3,1,0.12
